date,PPI Final Demand (Headline) YoY Chg,PPI Final Demand Less Food & Energy (Core) YoY Chg,"PPI Final Demand Less Food, Energy & Trade Services YoY Chg",PPI Final Demand Goods YoY Chg,PPI Final Demand Services YoY Chg,PPI Final Demand Finished Consumer Foods YoY Chg,PPI Final Demand Finished Consumer Energy Goods YoY Chg,PPI Processed Goods for Intermediate Demand YoY Chg,PPI Unprocessed Goods for Intermediate Demand YoY Chg,PPI Final Demand - Finished Goods YoY Chg,PPI Final Demand - Less Food & Energy YoY Chg
1948-03-01,,,,,,10.16,,7.36,9.12,7.69,
1948-04-01,,,,,,11.75,,8.66,11.4,8.08,
1948-05-01,,,,,,13.87,,9.13,16.12,8.81,
1948-06-01,,,,,,14.15,,9.48,18.3,9.16,
1948-07-01,,,,,,14.52,,9.48,16.45,9.92,
1948-08-01,,,,,,13.06,,9.44,12.34,9.89,
1948-09-01,,,,,,8.36,,7.59,7.72,7.87,
1948-10-01,,,,,,4.88,,6.25,0.3,7.09,
1948-11-01,,,,,,2.1,,4.53,-1.18,5.17,
1948-12-01,,,,,,-2.33,,2.86,-6.52,2.89,
1949-01-01,,,,,,-6.2,,0.8,-11.6,0.71,
1949-02-01,,,,,,-6.61,,0.4,-10.17,0.36,
1949-03-01,,,,,,-6.05,,-0.4,-8.06,0.0,
1949-04-01,,,,,,-7.67,,-2.39,-11.7,-0.71,
1949-05-01,,,,,,-8.22,,-3.19,-14.73,-2.11,
1949-06-01,,,,,,-8.73,,-5.12,-17.96,-3.15,
1949-07-01,,,,,,-10.14,,-5.12,-19.11,-4.51,
1949-08-01,,,,,,-10.42,,-6.27,-17.75,-5.19,
1949-09-01,,,,,,-9.43,,-6.27,-15.47,-4.86,
1949-10-01,,,,,,-9.01,,-6.67,-12.72,-4.88,
1949-11-01,,,,,,-7.65,,-6.69,-11.64,-4.56,
1949-12-01,,,,,,-7.44,,-5.56,-10.3,-4.56,
1950-01-01,,,,,,-6.91,,-5.56,-7.5,-3.89,
1950-02-01,,,,,,-3.38,,-3.63,-1.29,-2.86,
1950-03-01,,,,,,-3.37,,-2.43,-1.62,-2.5,
1950-04-01,,,,,,-3.69,,-1.22,0.99,-2.15,
1950-05-01,,,,,,-2.47,,1.23,4.98,-1.08,
1950-06-01,,,,,,-1.54,,2.49,8.08,-0.36,
1950-07-01,,,,,,3.76,,4.98,14.04,1.82,
1950-08-01,,,,,,6.29,,7.11,16.44,4.38,
1950-09-01,,,,,,7.26,,9.62,16.95,5.47,
1950-10-01,,,,,,7.03,,12.18,16.95,6.23,
1950-11-01,,,,,,8.28,,13.5,19.59,8.09,
1950-12-01,,,,,,13.5,,16.81,23.99,10.29,
1951-01-01,,,,,,16.13,,19.75,29.05,12.13,
1951-02-01,,,,,,18.47,,20.08,29.84,13.24,
1951-03-01,,,,,,16.83,,19.5,29.04,13.19,
1951-04-01,,,,,,17.89,,19.01,28.2,13.19,
1951-05-01,,,,,,17.09,,17.07,21.52,13.09,
1951-06-01,,,,,,15.67,,16.19,18.69,12.32,
1951-07-01,,,,,,8.46,,12.25,10.51,10.0,
1951-08-01,,,,,,7.1,,9.37,6.47,7.34,
1951-09-01,,,,,,6.76,,6.87,4.06,5.88,
1951-10-01,,,,,,10.15,,4.49,6.38,6.21,
1951-11-01,,,,,,9.12,,3.72,2.82,5.1,
1951-12-01,,,,,,5.67,,0.0,-0.27,3.0,
1952-01-01,,,,,,2.78,,-2.46,-6.28,0.98,
1952-02-01,,,,,,-1.34,,-3.48,-10.35,-0.32,
1952-03-01,,,,,,-0.27,,-4.17,-10.49,0.0,
1952-04-01,,,,,,-1.08,,-4.51,-10.74,-0.65,
1952-05-01,,,,,,-1.89,,-4.51,-9.38,-1.29,
1952-06-01,,,,,,-1.63,,-3.83,-9.19,-0.97,
1952-07-01,,,,,,2.23,,-3.17,-5.98,0.0,
1952-08-01,,,,,,1.38,,-1.43,-4.14,0.0,
1952-09-01,,,,,,0.28,,-1.43,-5.85,0.0,
1952-10-01,,,,,,-1.9,,-1.43,-7.9,-0.97,
1952-11-01,,,,,,-3.23,,-1.79,-7.42,-1.62,
1952-12-01,,,,,,-5.9,,-1.8,-10.11,-2.27,
1953-01-01,,,,,,-4.86,,-1.44,-9.22,-1.62,
1953-02-01,,,,,,-4.9,,-1.08,-8.73,-1.63,
1953-03-01,,,,,,-5.45,,-0.36,-7.43,-1.94,
1953-04-01,,,,,,-6.03,,0.0,-9.46,-1.63,
1953-05-01,,,,,,-5.23,,0.36,-8.62,-1.3,
1953-06-01,,,,,,-5.23,,0.36,-9.25,-0.98,
1953-07-01,,,,,,-6.54,,1.82,-6.65,-0.97,
1953-08-01,,,,,,-6.81,,1.09,-8.36,-0.98,
1953-09-01,,,,,,-4.67,,1.09,-5.33,-0.65,
1953-10-01,,,,,,-4.97,,1.45,-7.1,-0.33,
1953-11-01,,,,,,-5.01,,1.46,-7.42,-0.33,
1953-12-01,,,,,,-2.28,,1.83,-3.65,0.66,
1954-01-01,,,,,,-1.14,,1.82,-1.54,0.66,
1954-02-01,,,,,,-1.72,,1.82,-1.23,0.66,
1954-03-01,,,,,,-0.86,,1.45,-0.93,0.33,
1954-04-01,,,,,,0.58,,1.45,1.9,1.32,
1954-05-01,,,,,,0.87,,1.09,0.94,0.99,
1954-06-01,,,,,,-1.45,,0.36,0.32,0.0,
1954-07-01,,,,,,0.58,,-0.36,-2.79,0.0,
1954-08-01,,,,,,0.58,,0.0,-1.57,0.0,
1954-09-01,,,,,,-2.59,,-0.36,-1.56,-0.33,
1954-10-01,,,,,,-2.03,,-0.36,-0.64,-0.66,
1954-11-01,,,,,,-0.88,,0.36,0.64,0.0,
1954-12-01,,,,,,-1.75,,0.36,-2.84,-0.33,
1955-01-01,,,,,,-2.59,,0.0,-2.81,-0.33,
1955-02-01,,,,,,-0.58,,0.36,-3.12,0.33,
1955-03-01,,,,,,-2.33,,0.36,-4.36,-0.33,
1955-04-01,,,,,,-1.45,,0.72,-3.73,-0.65,
1955-05-01,,,,,,-3.75,,0.72,-5.92,-0.65,
1955-06-01,,,,,,-0.59,,1.44,-2.54,0.33,
1955-07-01,,,,,,-4.06,,1.79,-3.18,-0.33,
1955-08-01,,,,,,-3.78,,2.15,-3.83,0.0,
1955-09-01,,,,,,-1.78,,3.6,-3.49,0.66,
1955-10-01,,,,,,-2.97,,3.96,-2.56,1.32,
1955-11-01,,,,,,-3.25,,3.58,-6.37,0.99,
1955-12-01,,,,,,-2.97,,3.94,-4.22,1.32,
1956-01-01,,,,,,-4.42,,4.3,-5.47,0.99,
1956-02-01,,,,,,-4.69,,4.29,-3.55,0.98,
1956-03-01,,,,,,-2.38,,5.0,-2.93,1.98,
1956-04-01,,,,,,-3.53,,4.98,-2.26,1.97,
1956-05-01,,,,,,0.3,,5.34,1.66,2.63,
1956-06-01,,,,,,-0.3,,4.96,-0.65,2.95,
1956-07-01,,,,,,0.91,,3.52,0.33,2.96,
1956-08-01,,,,,,0.3,,4.21,2.99,3.29,
1956-09-01,,,,,,1.51,,3.47,1.97,3.61,
1956-10-01,,,,,,3.36,,3.81,1.97,3.92,
1956-11-01,,,,,,3.98,,3.81,5.78,4.25,
1956-12-01,,,,,,3.67,,3.79,7.46,3.91,
1957-01-01,,,,,,4.63,,4.12,6.46,4.56,
1957-02-01,,,,,,4.0,,3.77,3.68,4.55,
1957-03-01,,,,,,3.05,,3.06,3.69,3.88,
1957-04-01,,,,,,3.35,,2.37,1.65,4.19,
1957-05-01,,,,,,1.49,,2.03,0.0,3.53,
1957-06-01,,,,,,1.79,,2.36,3.28,3.5,
1957-07-01,,,,,,3.89,,3.06,4.92,4.15,
1957-08-01,,,,,,5.12,,2.36,3.23,3.82,
1957-09-01,,,,,,2.67,,2.01,0.65,3.16,
1957-10-01,,,,,,3.25,,1.0,0.0,2.83,
1957-11-01,,,,,,3.53,,1.33,0.0,3.13,
1957-12-01,,,,,,5.01,,1.0,-0.63,3.45,
1958-01-01,,,,,,6.49,,0.33,0.32,3.43,
1958-02-01,,,,,,7.69,,0.0,2.9,3.11,
1958-03-01,,,,,,11.24,,0.0,4.53,4.05,
1958-04-01,,,,,,8.85,,0.0,3.25,2.79,
1958-05-01,,,,,,9.12,,0.33,5.54,2.79,
1958-06-01,,,,,,7.6,,0.0,1.59,2.46,
1958-07-01,,,,,,5.48,,0.0,0.31,1.84,
1958-08-01,,,,,,4.01,,0.0,-0.31,1.84,
1958-09-01,,,,,,4.62,,0.0,1.28,1.84,
1958-10-01,,,,,,3.15,,0.33,2.9,1.53,
1958-11-01,,,,,,1.7,,0.33,3.22,0.91,
1958-12-01,,,,,,0.56,,0.66,0.32,0.3,
1959-01-01,,,,,,-1.66,,0.66,0.64,-0.3,
1959-02-01,,,,,,-3.02,,1.32,-1.57,0.0,
1959-03-01,,,,,,-7.18,,1.32,-2.48,-0.6,
1959-04-01,,,,,,-5.15,,1.66,-0.31,0.0,
1959-05-01,,,,,,-5.93,,1.98,-2.78,0.3,
1959-06-01,,,,,,-5.43,,1.98,-2.19,-0.3,
1959-07-01,,,,,,-5.46,,1.65,-3.43,-0.3,
1959-08-01,,,,,,-5.79,,1.32,-3.76,-0.6,
1959-09-01,,,,,,-3.04,,1.32,-2.22,0.6,
1959-10-01,,,,,,-4.44,,1.32,-3.76,-0.3,
1959-11-01,,,,,,-4.75,,1.31,-4.98,-0.6,
1959-12-01,,,,,,-3.91,,0.98,-4.11,-0.3,
1960-01-01,,,,,,-2.82,,0.65,-3.8,0.0,
1960-02-01,,,,,,-2.27,,0.65,-3.18,-0.3,
1960-03-01,,,,,,1.43,,0.65,-2.54,0.6,
1960-04-01,,,,,,1.14,,0.33,-2.84,0.6,
1960-05-01,,,,,,1.72,,-0.32,-2.22,0.3,
1960-06-01,,,,,,1.72,,0.0,-2.88,0.6,
1960-07-01,,,,,,2.89,,0.0,-1.94,1.21,
1960-08-01,,,,,,3.22,,0.0,-2.93,1.21,
1960-09-01,,,,,,1.42,,0.0,-2.91,0.0,
1960-10-01,,,,,,4.94,,0.0,-1.63,1.81,
1960-11-01,,,,,,6.74,,-0.65,-0.98,2.12,
1960-12-01,,,,,,5.23,,-0.65,0.0,1.82,
1961-01-01,,,,,,4.06,,-0.65,0.0,1.51,
1961-02-01,,,,,,4.64,,-0.65,0.33,1.81,
1961-03-01,,,,,,0.85,,-0.32,-1.3,0.6,
1961-04-01,,,,,,-0.28,,-0.32,-1.95,0.0,
1961-05-01,,,,,,-1.41,,-0.65,-2.92,-0.3,
1961-06-01,,,,,,-1.98,,-1.29,-2.96,-0.3,
1961-07-01,,,,,,-1.4,,-0.97,-2.3,-0.6,
1961-08-01,,,,,,0.0,,-0.97,2.35,0.0,
1961-09-01,,,,,,-1.12,,-0.97,1.0,-0.3,
1961-10-01,,,,,,-2.77,,-1.3,0.33,-1.19,
1961-11-01,,,,,,-3.57,,-0.65,0.0,-0.89,
1961-12-01,,,,,,-1.93,,-0.33,0.99,-0.6,
1962-01-01,,,,,,-0.28,,-0.33,0.66,-0.3,
1962-02-01,,,,,,-0.28,,-0.33,0.0,-0.3,
1962-03-01,,,,,,0.56,,-0.65,0.66,-0.3,
1962-04-01,,,,,,0.28,,-0.33,-0.33,0.3,
1962-05-01,,,,,,0.86,,0.0,0.67,0.3,
1962-06-01,,,,,,1.15,,0.33,1.36,0.3,
1962-07-01,,,,,,0.0,,0.33,1.68,0.3,
1962-08-01,,,,,,1.13,,0.33,0.0,0.3,
1962-09-01,,,,,,3.69,,0.33,2.97,1.5,
1962-10-01,,,,,,1.99,,0.33,1.65,0.9,
1962-11-01,,,,,,2.28,,0.0,2.65,0.6,
1962-12-01,,,,,,0.56,,-0.33,0.0,0.3,
1963-01-01,,,,,,-0.56,,0.0,-0.98,-0.3,
1963-02-01,,,,,,-1.67,,-0.33,-1.64,-0.6,
1963-03-01,,,,,,-2.79,,-0.33,-2.95,-0.6,
1963-04-01,,,,,,-1.69,,-0.33,-1.0,-0.6,
1963-05-01,,,,,,0.0,,0.33,-1.66,0.0,
1963-06-01,,,,,,0.85,,0.33,0.0,0.3,
1963-07-01,,,,,,0.85,,0.33,-0.66,0.0,
1963-08-01,,,,,,-1.12,,0.33,-1.97,-0.3,
1963-09-01,,,,,,-3.56,,0.33,-4.49,-1.18,
1963-10-01,,,,,,-1.4,,0.98,-2.92,-0.3,
1963-11-01,,,,,,-1.11,,0.98,-2.58,-0.3,
1963-12-01,,,,,,-1.68,,0.98,-3.92,-0.3,
1964-01-01,,,,,,0.0,,0.98,-1.65,0.3,
1964-02-01,,,,,,-0.85,,0.98,-2.0,0.3,
1964-03-01,,,,,,1.15,,0.98,-0.34,0.3,
1964-04-01,,,,,,1.72,,0.98,-1.01,0.6,
1964-05-01,,,,,,-0.57,,0.0,-0.68,0.3,
1964-06-01,,,,,,0.28,,-0.33,-3.01,0.0,
1964-07-01,,,,,,0.28,,0.0,-2.67,0.3,
1964-08-01,,,,,,0.28,,-0.33,-1.67,0.6,
1964-09-01,,,,,,1.7,,0.0,1.01,0.6,
1964-10-01,,,,,,1.13,,0.0,-0.33,0.3,
1964-11-01,,,,,,0.0,,0.0,-0.99,0.3,
1964-12-01,,,,,,0.57,,0.32,1.36,0.6,
1965-01-01,,,,,,-0.56,,0.32,-1.01,0.3,
1965-02-01,,,,,,1.14,,0.32,1.7,0.6,
1965-03-01,,,,,,1.42,,0.65,1.69,0.9,
1965-04-01,,,,,,2.82,,0.97,3.05,1.49,
1965-05-01,,,,,,4.84,,1.3,4.76,1.79,
1965-06-01,,,,,,4.51,,1.96,8.97,2.09,
1965-07-01,,,,,,4.23,,1.63,6.85,1.79,
1965-08-01,,,,,,4.8,,2.29,7.14,1.79,
1965-09-01,,,,,,3.91,,1.95,4.32,2.08,
1965-10-01,,,,,,5.04,,1.62,6.71,2.38,
1965-11-01,,,,,,6.48,,1.95,7.36,2.68,
1965-12-01,,,,,,9.35,,1.62,9.73,3.27,
1966-01-01,,,,,,8.76,,1.62,12.2,3.27,
1966-02-01,,,,,,10.7,,2.27,12.71,3.86,
1966-03-01,,,,,,10.06,,2.26,11.67,3.86,
1966-04-01,,,,,,8.24,,2.25,9.54,3.24,
1966-05-01,,,,,,5.43,,2.89,7.14,2.93,
1966-06-01,,,,,,3.23,,2.56,4.43,2.05,
1966-07-01,,,,,,4.86,,3.21,7.05,2.93,
1966-08-01,,,,,,7.01,,3.19,6.35,3.51,
1966-09-01,,,,,,7.8,,2.88,6.37,3.79,
1966-10-01,,,,,,5.87,,2.56,3.46,3.2,
1966-11-01,,,,,,3.97,,2.55,0.62,2.9,
1966-12-01,,,,,,1.04,,2.55,-1.83,2.02,
1967-01-01,,,,,,0.52,,2.55,-2.72,2.02,
1967-02-01,,,,,,-2.54,,1.58,-6.53,0.86,
1967-03-01,,,,,,-3.81,,1.26,-7.16,0.86,
1967-04-01,,,,,,-3.55,,0.94,-7.81,0.57,
1967-05-01,,,,,,-1.8,,0.31,-5.76,0.85,
1967-06-01,,,,,,1.57,,0.63,-4.85,2.29,
1967-07-01,,,,,,-0.26,,0.0,-6.29,1.71,
1967-08-01,,,,,,-2.52,,-0.31,-6.57,1.13,
1967-09-01,,,,,,-3.24,,0.31,-6.59,0.56,
1967-10-01,,,,,,-2.02,,0.62,-4.86,1.13,
1967-11-01,,,,,,-1.27,,0.62,-3.72,1.13,
1967-12-01,,,,,,0.0,,1.24,-1.87,1.69,
1968-01-01,,,,,,0.26,,1.24,-2.48,1.98,
1968-02-01,,,,,,2.35,,1.87,0.0,2.55,
1968-03-01,,,,,,3.69,,2.18,1.61,2.83,
1968-04-01,,,,,,4.47,,2.18,3.26,3.4,
1968-05-01,,,,,,4.46,,2.18,1.29,3.11,
1968-06-01,,,,,,2.31,,2.17,-0.32,2.52,
1968-07-01,,,,,,3.36,,2.48,0.96,2.8,
1968-08-01,,,,,,3.62,,2.48,1.28,2.79,
1968-09-01,,,,,,4.9,,2.48,2.24,3.35,
1968-10-01,,,,,,4.63,,2.79,2.56,3.06,
1968-11-01,,,,,,5.15,,2.47,5.47,3.34,
1968-12-01,,,,,,4.62,,2.45,2.86,3.06,
1969-01-01,,,,,,5.67,,3.07,3.82,3.05,
1969-02-01,,,,,,4.08,,3.06,2.54,2.76,
1969-03-01,,,,,,4.58,,3.35,3.48,3.03,
1969-04-01,,,,,,4.53,,3.05,4.42,3.01,
1969-05-01,,,,,,6.28,,3.35,7.94,3.56,
1969-06-01,,,,,,7.29,,3.34,10.22,3.83,
1969-07-01,,,,,,6.25,,3.03,7.91,3.81,
1969-08-01,,,,,,6.73,,3.64,8.52,3.8,
1969-09-01,,,,,,5.41,,3.32,7.84,3.51,
1969-10-01,,,,,,6.39,,3.61,8.41,4.05,
1969-11-01,,,,,,8.09,,4.22,7.32,4.58,
1969-12-01,,,,,,8.09,,3.89,8.33,4.85,
1970-01-01,,,,,,8.29,,4.17,7.67,5.11,
1970-02-01,,,,,,8.09,,3.86,8.98,4.84,
1970-03-01,,,,,,7.54,,2.95,8.87,4.55,
1970-04-01,,,,,,6.02,,3.85,7.25,3.99,
1970-05-01,,,,,,2.84,,3.83,2.94,3.44,
1970-06-01,,,,,,2.34,,3.82,1.45,3.16,
1970-07-01,,,,,,3.06,,4.41,2.93,2.89,
1970-08-01,,,,,,1.17,,3.8,0.87,2.62,
1970-09-01,,,,,,2.8,,4.09,3.2,3.39,
1970-10-01,,,,,,0.69,,4.07,2.01,2.86,
1970-11-01,,,,,,-0.68,,3.76,-0.28,2.58,
1970-12-01,,,,,,-2.49,,3.46,-1.71,2.31,
1971-01-01,,,,,,-2.7,,2.86,-0.85,2.05,
1971-02-01,,,,,,-1.13,,3.14,1.99,2.82,
1971-03-01,,,,,,-0.68,,4.01,-0.56,2.81,
1971-04-01,,,,,,0.91,,3.42,1.41,3.07,
1971-05-01,,,,,,2.76,,3.69,2.86,3.58,
1971-06-01,,,,,,2.97,,3.97,3.43,3.57,
1971-07-01,,,,,,0.68,,3.94,2.28,3.06,
1971-08-01,,,,,,3.23,,4.79,3.17,3.83,
1971-09-01,,,,,,0.91,,4.49,0.56,2.78,
1971-10-01,,,,,,2.98,,3.63,2.54,2.78,
1971-11-01,,,,,,3.2,,3.62,5.41,2.51,
1971-12-01,,,,,,6.28,,4.18,7.83,3.27,
1972-01-01,,,,,,5.32,,4.17,8.62,2.76,
1972-02-01,,,,,,5.28,,4.43,6.13,2.99,
1972-03-01,,,,,,4.1,,4.13,7.63,2.74,
1972-04-01,,,,,,2.93,,4.41,7.5,2.48,
1972-05-01,,,,,,3.58,,4.11,9.17,2.47,
1972-06-01,,,,,,4.0,,3.54,8.84,2.71,
1972-07-01,,,,,,6.8,,3.25,11.42,3.47,
1972-08-01,,,,,,5.82,,2.69,12.57,3.19,
1972-09-01,,,,,,7.42,,3.49,13.45,3.69,
1972-10-01,,,,,,6.01,,4.31,12.36,3.19,
1972-11-01,,,,,,6.86,,4.84,13.51,3.68,
1972-12-01,,,,,,7.88,,5.88,17.74,3.89,
1973-01-01,,,,,,10.99,,6.13,19.05,4.88,
1973-02-01,,,,,,11.55,,7.16,23.62,5.33,
1973-03-01,,,,,,17.94,,8.73,29.4,7.51,
1973-04-01,,,,,,19.26,,8.97,29.46,8.23,
1973-05-01,,,,,,18.79,,11.05,33.59,8.43,
1973-06-01,,,,,,20.09,,13.16,39.59,9.11,
1973-07-01,,,,,,18.26,,11.02,31.25,8.61,
1973-08-01,,,,,,28.96,,13.87,59.06,11.9,
1973-09-01,,,,,,26.15,,11.69,50.37,11.14,
1973-10-01,,,,,,25.21,,12.14,43.03,11.43,
1973-11-01,,,,,,23.81,,12.31,40.48,11.58,
1973-12-01,,,,,,21.91,,13.13,34.93,11.48,
1974-01-01,,,,,,23.17,,15.33,40.67,13.49,
1974-02-01,,,,,,24.61,,15.84,36.52,14.25,
1974-03-01,,,,,,17.81,,17.03,26.37,13.06,
1974-04-01,,,,,,15.6,,18.64,20.96,13.42,
1974-05-01,,,,,,14.36,,19.91,11.05,14.0,
1974-06-01,,,,,,8.19,,19.77,0.73,12.75,
1974-07-01,,,,,,13.29,,26.24,13.9,16.08,
1974-08-01,,,,,,5.9,,28.28,-1.87,14.26,
